Site Name:,Snake Range West Pinyon-Juniper,Snake Range West Montane
2019-11-02T06:20:00.0000000-08:00,20.930000000,8.740000000
2019-11-02T06:30:00.0000000-08:00,20.450000000,10.630000000
2019-11-02T06:40:00.0000000-08:00,19.480000000,11.810000000
2019-11-02T06:50:00.0000000-08:00,19.900000000,11.620000000
2019-11-02T07:00:00.0000000-08:00,19.630000000,12.080000000
2019-11-02T07:10:00.0000000-08:00,19.010000000,12.220000000
2019-11-02T07:20:00.0000000-08:00,18.690000000,12.010000000
2019-11-02T07:30:00.0000000-08:00,18.440000000,11.520000000
2019-11-02T07:40:00.0000000-08:00,19.530000000,11.100000000
2019-11-02T07:50:00.0000000-08:00,19.640000000,11.130000000
2019-11-02T08:00:00.0000000-08:00,19.380000000,11.410000000
2019-11-02T08:10:00.0000000-08:00,19.360000000,10.870000000
2019-11-02T08:20:00.0000000-08:00,19.880000000,10.740000000
2019-11-02T08:30:00.0000000-08:00,19.350000000,10.510000000
2019-11-02T08:40:00.0000000-08:00,20.070000000,9.120000000
2019-11-02T08:50:00.0000000-08:00,20.310000000,8.980000000
2019-11-02T09:00:00.0000000-08:00,19.610000000,9.070000000
2019-11-02T09:10:00.0000000-08:00,18.790000000,9.560000000
2019-11-02T09:20:00.0000000-08:00,18.940000000,9.340000000
2019-11-02T09:30:00.0000000-08:00,18.970000000,7.712000000
2019-11-02T09:40:00.0000000-08:00,18.730000000,8.750000000
2019-11-02T09:50:00.0000000-08:00,17.800000000,8.110000000
2019-11-02T10:00:00.0000000-08:00,16.250000000,10.240000000
2019-11-02T10:10:00.0000000-08:00,15.380000000,10.270000000
2019-11-02T10:20:00.0000000-08:00,15.000000000,10.160000000
2019-11-02T10:30:00.0000000-08:00,14.590000000,10.000000000
2019-11-02T10:40:00.0000000-08:00,14.060000000,10.100000000
2019-11-02T10:50:00.0000000-08:00,13.960000000,10.220000000
2019-11-02T11:00:00.0000000-08:00,13.430000000,10.220000000
2019-11-02T11:10:00.0000000-08:00,13.500000000,10.510000000
2019-11-02T11:20:00.0000000-08:00,13.540000000,10.480000000
2019-11-02T11:30:00.0000000-08:00,13.490000000,11.370000000
2019-11-02T11:40:00.0000000-08:00,13.570000000,10.460000000
2019-11-02T11:50:00.0000000-08:00,13.430000000,10.500000000
2019-11-02T12:00:00.0000000-08:00,13.130000000,11.060000000
2019-11-02T12:10:00.0000000-08:00,12.870000000,8.690000000
2019-11-02T12:20:00.0000000-08:00,12.570000000,6.658000000
2019-11-02T12:30:00.0000000-08:00,12.290000000,7.424000000
2019-11-02T12:40:00.0000000-08:00,11.840000000,8.150000000
2019-11-02T12:50:00.0000000-08:00,10.990000000,8.520000000
2019-11-02T13:00:00.0000000-08:00,10.540000000,9.470000000
2019-11-02T13:10:00.0000000-08:00,10.500000000,9.160000000
2019-11-02T13:20:00.0000000-08:00,10.090000000,8.810000000
2019-11-02T13:30:00.0000000-08:00,9.890000000,7.948000000
2019-11-02T13:40:00.0000000-08:00,9.830000000,8.050000000
2019-11-02T13:50:00.0000000-08:00,9.800000000,7.949000000
2019-11-02T14:00:00.0000000-08:00,9.570000000,6.917000000
2019-11-02T14:10:00.0000000-08:00,9.600000000,6.993000000
2019-11-02T14:20:00.0000000-08:00,9.460000000,7.880000000
2019-11-02T14:30:00.0000000-08:00,9.580000000,8.900000000
2019-11-02T14:40:00.0000000-08:00,9.890000000,10.010000000
2019-11-02T14:50:00.0000000-08:00,9.840000000,10.760000000
2019-11-02T15:00:00.0000000-08:00,9.600000000,11.250000000
2019-11-02T15:10:00.0000000-08:00,9.410000000,11.900000000
2019-11-02T15:20:00.0000000-08:00,9.280000000,11.990000000
2019-11-02T15:30:00.0000000-08:00,9.560000000,12.120000000
2019-11-02T15:40:00.0000000-08:00,9.800000000,11.930000000
2019-11-02T15:50:00.0000000-08:00,9.960000000,11.820000000
2019-11-02T16:00:00.0000000-08:00,9.850000000,12.450000000
2019-11-02T16:10:00.0000000-08:00,10.070000000,13.220000000
2019-11-02T16:20:00.0000000-08:00,10.270000000,13.720000000
2019-11-02T16:30:00.0000000-08:00,10.940000000,14.080000000
2019-11-02T16:40:00.0000000-08:00,11.790000000,14.550000000
2019-11-02T16:50:00.0000000-08:00,12.560000000,15.230000000
2019-11-02T17:00:00.0000000-08:00,13.150000000,15.970000000
2019-11-02T17:10:00.0000000-08:00,13.460000000,17.040000000
2019-11-02T17:20:00.0000000-08:00,13.270000000,17.110000000
2019-11-02T17:30:00.0000000-08:00,13.280000000,16.740000000
2019-11-02T17:40:00.0000000-08:00,13.480000000,17.310000000
2019-11-02T17:50:00.0000000-08:00,13.640000000,17.490000000
2019-11-02T18:00:00.0000000-08:00,13.590000000,17.980000000
2019-11-02T18:10:00.0000000-08:00,13.550000000,17.980000000
2019-11-02T18:20:00.0000000-08:00,13.360000000,17.830000000
2019-11-02T18:30:00.0000000-08:00,13.530000000,18.090000000
2019-11-02T18:40:00.0000000-08:00,13.730000000,18.440000000
2019-11-02T18:50:00.0000000-08:00,13.510000000,18.850000000
2019-11-02T19:00:00.0000000-08:00,13.340000000,19.180000000
2019-11-02T19:10:00.0000000-08:00,13.580000000,19.200000000
2019-11-02T19:20:00.0000000-08:00,14.270000000,19.410000000
2019-11-02T19:30:00.0000000-08:00,14.150000000,19.690000000
2019-11-02T19:40:00.0000000-08:00,14.030000000,19.660000000
2019-11-02T19:50:00.0000000-08:00,14.050000000,19.650000000
2019-11-02T20:00:00.0000000-08:00,14.060000000,18.930000000
2019-11-02T20:10:00.0000000-08:00,14.390000000,19.250000000
2019-11-02T20:20:00.0000000-08:00,14.480000000,19.340000000
2019-11-02T20:30:00.0000000-08:00,14.870000000,19.900000000
2019-11-02T20:40:00.0000000-08:00,14.500000000,21.550000000
2019-11-02T20:50:00.0000000-08:00,15.320000000,22.810000000
2019-11-02T21:00:00.0000000-08:00,14.770000000,21.820000000
2019-11-02T21:10:00.0000000-08:00,14.590000000,20.220000000
2019-11-02T21:20:00.0000000-08:00,15.560000000,20.770000000
2019-11-02T21:30:00.0000000-08:00,15.540000000,21.500000000
2019-11-02T21:40:00.0000000-08:00,15.470000000,20.420000000
2019-11-02T21:50:00.0000000-08:00,15.070000000,21.260000000
2019-11-02T22:00:00.0000000-08:00,16.400000000,22.440000000
2019-11-02T22:10:00.0000000-08:00,16.970000000,23.520000000
2019-11-02T22:20:00.0000000-08:00,16.060000000,23.890000000
2019-11-02T22:30:00.0000000-08:00,16.120000000,23.820000000
2019-11-02T22:40:00.0000000-08:00,16.880000000,23.370000000
2019-11-02T22:50:00.0000000-08:00,16.340000000,23.300000000
2019-11-02T23:00:00.0000000-08:00,16.900000000,23.630000000
2019-11-02T23:10:00.0000000-08:00,17.110000000,23.830000000
2019-11-02T23:20:00.0000000-08:00,17.070000000,23.840000000
2019-11-02T23:30:00.0000000-08:00,17.490000000,23.590000000
2019-11-02T23:40:00.0000000-08:00,17.440000000,23.750000000
2019-11-02T23:50:00.0000000-08:00,17.000000000,23.620000000
